t_sec,imu_m_s2,x_cmd_mm,fit_m_s2
5.0000,-0.086142,-3.0000,-0.062367
5.0013,-0.086142,-2.9929,-0.062299
5.0025,-0.086142,-2.9725,-0.062233
5.0038,-0.086142,-2.9388,-0.062170
5.0050,-0.035892,-2.8920,-0.062110
5.0063,-0.035892,-2.8324,-0.062053
5.0075,-0.035892,-2.7601,-0.062000
5.0088,-0.035892,-2.6755,-0.061950
5.0100,-0.035892,-2.5791,-0.061905
5.0113,-0.035892,-2.4711,-0.061863
5.0125,-0.035892,-2.3521,-0.061826
5.0138,-0.035892,-2.2226,-0.061793
5.0150,-0.119641,-2.0833,-0.061765
5.0163,-0.119641,-1.9346,-0.061741
5.0175,-0.119641,-1.7773,-0.061723
5.0189,-0.119641,-1.5907,-0.061708
5.0219,-0.119641,-1.1655,-0.061697
5.0229,-0.119641,-1.0243,-0.061699
5.0238,-0.119641,-0.8842,-0.061704
5.0248,-0.014357,-0.7388,-0.061713
5.0257,-0.014357,-0.5947,-0.061723
5.0266,-0.014357,-0.4495,-0.061737
5.0275,-0.014357,-0.2996,-0.061753
5.0288,-0.014357,-0.0998,-0.061779
5.0300,-0.014357,0.1004,-0.061810
5.0313,-0.014357,0.3002,-0.061845
5.0325,-0.014357,0.4986,-0.061885
5.0338,-0.014357,0.6948,-0.061929
5.0350,-0.162712,0.8880,-0.061977
5.0363,-0.162712,1.0772,-0.062028
5.0375,-0.162712,1.2615,-0.062083
5.0388,-0.162712,1.4403,-0.062142
5.0400,-0.162712,1.6128,-0.062204
5.0413,-0.162712,1.7778,-0.062268
5.0425,-0.162712,1.9351,-0.062335
5.0438,-0.162712,2.0837,-0.062404
5.0450,0.007178,2.2230,-0.062475
5.0463,0.007178,2.3525,-0.062547
5.0475,0.007178,2.4716,-0.062621
5.0488,0.007178,2.5794,-0.062696
5.0500,0.007178,2.6758,-0.062771
5.0513,0.007178,2.7603,-0.062847
5.0525,0.007178,2.8326,-0.062922
5.0538,0.007178,2.8922,-0.062997
5.0550,0.148355,2.9389,-0.063072
5.0563,0.148355,2.9725,-0.063145
5.0575,0.148355,2.9929,-0.063217
5.0588,0.148355,3.0000,-0.063287
5.0600,0.148355,2.9937,-0.063355
5.0613,0.148355,2.9740,-0.063421
5.0625,0.148355,2.9411,-0.063484
5.0638,0.148355,2.8951,-0.063544
5.0650,-0.047856,2.8362,-0.063601
5.0663,-0.047856,2.7647,-0.063654
5.0675,-0.047856,2.6808,-0.063704
5.0688,-0.047856,2.5851,-0.063750
5.0702,-0.047856,2.4650,-0.063797
5.0726,-0.047856,2.2192,-0.063865
5.0736,-0.047856,2.1147,-0.063887
5.0745,-0.047856,2.0071,-0.063906
5.0754,0.040678,1.8947,-0.063922
5.0764,0.040678,1.7775,-0.063935
5.0775,0.040678,1.6220,-0.063948
5.0788,0.040678,1.4502,-0.063957
5.0800,0.040678,1.2715,-0.063961
5.0813,0.040678,1.0877,-0.063960
5.0825,0.040678,0.8987,-0.063954
5.0838,0.040678,0.7058,-0.063943
5.0850,0.040678,0.5097,-0.063927
5.0863,-0.244068,0.3113,-0.063906
5.0875,-0.244068,0.1116,-0.063880
5.0888,-0.244068,-0.0886,-0.063849
5.0900,-0.244068,-0.2884,-0.063814
5.0913,-0.244068,-0.4870,-0.063775
5.0925,-0.244068,-0.6834,-0.063731
5.0938,-0.244068,-0.8768,-0.063684
5.0950,-0.244068,-1.0662,-0.063632
5.0963,-0.217747,-1.2509,-0.063577
5.0975,-0.217747,-1.4300,-0.063519
5.0988,-0.217747,-1.6027,-0.063458
5.1000,-0.217747,-1.7683,-0.063393
