time_s,accel_ms2
0.000003166,0.090927259
0.614338702,0.090927259
0.615322619,0.090927259
0.616288035,0.090927259
0.617224230,0.090927259
0.618159462,-0.162711937
0.619105045,-0.162711937
0.620034092,-0.162711937
0.620968398,-0.162711937
0.621896296,-0.162711937
0.622821973,-0.162711937
0.623746982,-0.162711937
0.624673085,-0.162711937
0.625597076,-0.162711937
0.626521863,-0.162711937
0.627449429,-0.404387019
0.628377123,-0.404387019
0.629302152,-0.404387019
0.630228161,-0.404387019
0.631153801,-0.404387019
0.632078440,-0.404387019
0.633010061,-0.404387019
0.633940681,-0.404387019
0.634867265,-0.404387019
0.635790534,-0.404387019
0.636714377,-0.404387019
0.637637998,-0.394815729
0.638562396,-0.394815729
0.639486295,-0.394815729
0.640409675,-0.394815729
0.641339481,-0.394815729
0.642270120,-0.394815729
0.643195000,-0.394815729
0.644116973,-0.394815729
0.645058001,-0.394815729
0.645981196,-0.394815729
0.646907446,-0.394815729
0.647834863,-0.270388954
0.648766836,-0.270388954
0.649691735,-0.270388954
0.650616096,-0.270388954
0.651557680,-0.270388954
0.652481893,-0.270388954
0.653406680,-0.270388954
0.654330838,-0.270388954
0.655254663,-0.270388954
0.656186598,-0.270388954
0.657113256,-0.270388954
0.658037821,0.100498549
0.658962868,0.100498549
0.659889044,0.100498549
0.660813462,0.100498549
0.661737379,0.100498549
0.662668444,0.100498549
0.663592713,0.100498549
0.664516482,0.100498549
0.665440843,0.100498549
0.666364668,0.100498549
0.667289603,0.100498549
0.668220335,0.299102825
0.669144789,0.299102825
0.670068651,0.299102825
0.671000272,0.299102825
0.671926633,0.299102825
0.672850309,0.299102825
0.673774060,0.299102825
0.674699403,0.299102825
0.675623135,0.299102825
0.676546719,0.299102825
0.677476839,0.299102825
0.678401553,0.083748791
0.679327229,0.083748791
0.680257979,0.083748791
0.681181971,0.083748791
0.682105943,0.083748791
0.683029805,0.083748791
0.683952426,0.083748791
0.684876046,0.083748791
0.685799038,0.083748791
0.686723288,0.083748791
0.687645927,0.083748791
0.688569030,-0.179461695
0.689493465,-0.179461695
0.690417216,-0.179461695
0.691340540,-0.179461695
0.692275994,-0.179461695
0.693200485,-0.179461695
0.694124162,-0.179461695
0.695047838,-0.179461695
0.695969681,-0.179461695
0.696893283,-0.179461695
0.697817219,-0.179461695
0.698741043,-0.308674115
0.699663627,-0.308674115
0.700596304,-0.308674115
0.701521239,-0.308674115
0.702444545,-0.308674115
0.703373314,-0.308674115
0.704295768,-0.308674115
0.705218982,-0.308674115
0.706142251,-0.308674115
0.707199296,-0.308674115
0.708169564,-0.308674115
0.709114852,-0.306281293
0.710040473,-0.306281293
0.710968593,-0.306281293
0.711897529,-0.306281293
0.712824464,-0.306281293
0.713747382,-0.306281293
0.714680169,-0.306281293
0.715633364,-0.306281293
0.716576225,-0.306281293
0.717521197,-0.306281293
0.718448040,-0.306281293
0.719371698,-0.038285162
0.720295486,-0.038285162
0.721217181,-0.038285162
0.722152801,-0.038285162
0.723075552,-0.038285162
0.723998117,-0.038285162
0.724919997,-0.038285162
0.725843284,-0.038285162
0.726766202,-0.038285162
0.727696859,-0.038285162
0.728618851,-0.038285162
0.729540008,0.055034920
0.730467870,0.055034920
0.731393213,0.055034920
0.732319000,0.055034920
0.733243769,0.055034920
0.734167983,0.055034920
0.735093140,0.055034920
0.736017558,0.055034920
0.736950697,0.055034920
0.737875207,0.055034920
0.738799772,0.055034920
0.739730152,-0.210568389
0.740654198,-0.210568389
0.741577856,-0.210568389
0.742501347,-0.210568389
0.743425820,-0.210568389
0.744348811,-0.210568389
0.745271802,-0.210568389
0.746194090,-0.210568389
0.747118396,-0.210568389
0.748041943,-0.210568389
0.748965267,-0.210568389
0.749887888,-0.464207584
0.750821212,-0.464207584
0.751754129,-0.464207584
0.752677750,-0.464207584
0.755068616,-0.464207584
0.760064346,-0.404387019
0.765060706,-0.404387019
0.770060825,-0.212961211
0.775062018,-0.212961211
0.780060692,0.184247340
0.785061237,0.184247340
0.790060430,0.289531535
0.795060845,0.289531535
0.800060557,0.289531535
0.805076249,0.040677984
0.810064794,0.040677984
0.815061376,-0.198604276
0.820060421,-0.198604276
0.825061947,-0.318245406
0.830061418,-0.318245406
0.835060500,-0.291924357
0.840061545,-0.291924357
0.845060941,-0.023928226
0.850060579,-0.023928226
0.855061679,0.033499516
0.860074076,0.033499516
0.865061880,-0.253639196
0.870060443,-0.253639196
0.875061784,-0.449850649
0.880060885,-0.449850649
0.885060448,-0.368494680
0.890060400,-0.368494680
0.895061149,-0.148355001
0.900060953,-0.148355001
0.905061183,0.220139679
0.910060690,0.220139679
0.915061994,0.289531535
0.920061632,0.289531535
0.925060214,-0.007178468
0.930060518,-0.007178468
0.935060637,-0.270388954
0.940060589,-0.270388954
0.945060449,-0.323031051
0.950060438,-0.323031051
0.955061427,-0.244067905
0.960060490,-0.244067905
0.965060646,0.033499516
0.970061561,0.033499516
0.975059903,0.004785645
0.980060595,0.004785645
0.985060770,-0.344566454
0.990060537,-0.344566454
0.995061767,-0.440279358
1.000060867,-0.440279358
1.005065171,-0.313459761
1.010061494,-0.313459761
1.015060539,-0.066999033
1.020061584,-0.066999033
1.025064665,0.275174599
1.030061914,0.275174599
1.035060792,0.227318147
1.040060726,0.227318147
1.045060622,-0.093320081
1.050060908,-0.093320081
1.055060656,-0.260817663
1.060060812,-0.260817663
1.065061302,-0.342173632
1.070060458,-0.342173632
1.075062039,-0.181854518
1.080060695,-0.181854518
1.085060833,0.066999033
1.090060526,0.066999033
1.095061089,-0.043070807
1.100060541,-0.043070807
1.105060604,-0.399601374
1.110060520,-0.399601374
1.115061935,-0.399601374
1.120060443,-0.428315245
1.125060821,-0.428315245
1.130061143,-0.303888470
1.135061873,-0.303888470
1.140060511,-0.009571290
1.145060315,-0.009571290
1.150060434,0.296710002
1.155060701,0.296710002
1.160060838,0.157926292
1.165060327,0.157926292
