# VSS hardware run — 2026-04-20T12:59:15
# mu=0.001  mu_omega=0.0  control_fs=800.0  log_hz=100.0
# cancel_dur=240.0s  actual_dur=240.01s  n_samples=24001
# F_init_hz=[8.499999966281907]  max_amp_per_tone=9.0mm  max_total_amp=60.0mm
# dir_invert=True  simulate=False
# NOTE: C_mm, S_mm, f_hz, A_mm are tone 1 only
t_s,e_m_s2,C_mm,S_mm,f_hz,A_mm
0.819189,-0.392423,0.019128,-0.046390,8.500000,0.050179
0.829189,-0.270389,0.021980,-0.046119,8.500000,0.051089
0.839189,-0.153141,0.023612,-0.044922,8.500000,0.050750
0.849190,0.289532,0.024004,-0.044240,8.500000,0.050332
0.859189,0.370888,0.024361,-0.046581,8.500000,0.052567
0.869189,-0.047856,0.025868,-0.048609,8.500000,0.055064
0.879189,-0.299103,0.025265,-0.048445,8.500000,0.054637
0.889189,-0.375673,0.022865,-0.048886,8.500000,0.053970
0.899189,-0.265603,0.020675,-0.050731,8.500000,0.054782
0.909189,0.055035,0.020029,-0.052400,8.500000,0.056097
0.919189,0.055035,0.019940,-0.051974,8.500000,0.055668
0.929189,0.002393,0.019927,-0.051960,8.500000,0.055650
0.939189,-0.330210,0.022424,-0.052723,8.500000,0.057293
0.949191,-0.351745,0.025127,-0.052068,8.500000,0.057814
0.959189,-0.263210,0.026619,-0.050617,8.500000,0.057190
0.969189,0.021535,0.026574,-0.050781,8.500000,0.057314
0.979189,0.421137,0.027459,-0.053991,8.500000,0.060573
0.989189,0.198604,0.028589,-0.055082,8.500000,0.062059
0.999189,-0.162712,0.027660,-0.054947,8.500000,0.061516
1.009189,-0.318245,0.025412,-0.055681,8.500000,0.061206
1.019189,-0.366102,0.023507,-0.057799,8.500000,0.062396
1.029189,-0.117248,0.023216,-0.058933,8.500000,0.063341
1.039189,0.105284,0.022966,-0.058367,8.500000,0.062723
1.049189,-0.133998,0.023632,-0.058861,8.500000,0.063427
1.059189,-0.382852,0.026386,-0.059277,8.500000,0.064885
1.069189,-0.303888,0.028711,-0.058413,8.500000,0.065088
1.079189,-0.179462,0.029786,-0.057144,8.500000,0.064442
